data_loader_1  | loading ctxusd with 11981 lines
data_loader_1  | loading utkbtc with 73245 lines
data_loader_1  | loading gotusd with 15465 lines
data_loader_1  | loading scrusd with 13683 lines
data_loader_1  | loading reqeth with 3799 lines
data_loader_1  | loading udcust with 1164 lines
data_loader_1  | loading eutusd with 206 lines
data_loader_1  | loading ltcbtc with 1009585 lines
data_loader_1  | loading dadbtc with 314533 lines
data_loader_1  | loading cbteth with 409 lines
data_loader_1  | loading necusd with 1301 lines
data_loader_1  | loading mgousd with 223270 lines
data_loader_1  | loading usketh with 11 lines
data_loader_1  | loading babust with 4290 lines
data_loader_1  | loading atmusd with 1526 lines
data_loader_1  | loading intusd with 17672 lines
data_loader_1  | loading rbtusd with 641 lines
data_loader_1  | loading clobtc with 4650 lines
data_loader_1  | loading yywusd with 120046 lines
data_loader_1  | loading ctxbtc with 8199 lines
data_loader_1  | loading paxust with 558 lines
data_loader_1  | loading bbneth with 564 lines
data_loader_1  | loading mkreth with 42930 lines
data_loader_1  | loading cnnusd with 5751 lines
data_loader_1  | loading rteusd with 664 lines
data_loader_1  | loading utketh with 63515 lines
data_loader_1  | loading bftusd with 118052 lines
data_loader_1  | loading fsnusd with 2014 lines
data_loader_1  | loading impeth with 356 lines
data_loader_1  | loading mtnbtc with 15011 lines
data_loader_1  | loading dgxeth with 27734 lines
data_loader_1  | loading xvgusd with 27991 lines
data_loader_1  | loading babusd with 282941 lines
data_loader_1  | loading mkrbtc with 17905 lines
data_loader_1  | loading qtmbtc with 118883 lines
data_loader_1  | loading qtmeth with 38905 lines
data_loader_1  | loading ethusd with 1465161 lines
